,0
33088,-1
25987,-1
1697,-1
37634,-1
31892,-1
7679,-1
6821,-1
31520,-1
37041,-1
17301,-1
2825,-1
27613,-1
22014,-1
26187,-1
29263,-1
20060,-1
8960,1
36554,1
8541,-1
37965,-1
13504,-1
14655,1
14300,-1
28860,1
26057,-1
10388,-1
20835,-1
32736,-1
18026,-1
3318,-1
9003,-1
12783,-1
9097,-1
17747,-1
38394,-1
9758,-1
8795,-1
12013,-1
6778,-1
10405,-1
21275,-1
20934,-1
32458,-1
4528,-1
27143,-1
6231,-1
39156,-1
18160,-1
28553,-1
12261,-1
21255,-1
20574,-1
21154,-1
14558,-1
16768,-1
8099,-1
3016,-1
18843,-1
27901,1
1736,-1
18206,-1
28755,-1
14023,-1
37876,-1
13488,-1
29679,-1
40,-1
19334,-1
22609,-1
26760,-1
20524,-1
6053,-1
655,-1
27459,-1
323,-1
16534,-1
34571,-1
34238,-1
13655,-1
4968,-1
39305,-1
17704,-1
5754,-1
23681,-1
38632,-1
30753,1
36063,-1
22909,-1
962,-1
17999,-1
34212,-1
2757,-1
8249,-1
24411,-1
20988,-1
17935,-1
26259,-1
16176,-1
21220,-1
7094,-1
857,-1
34646,-1
38744,-1
26004,-1
23615,-1
12212,-1
20078,-1
20459,-1
9712,-1
39591,-1
27762,-1
4918,-1
2992,-1
34417,-1
35051,-1
12573,1
1930,-1
6420,1
7251,-1
7779,-1
28808,-1
16751,-1
19918,1
2296,-1
21525,1
27383,-1
1457,-1
12387,-1
13177,-1
7638,-1
15633,-1
3281,-1
18264,-1
14565,-1
27064,-1
29164,-1
17817,-1
32593,-1
37785,-1
28348,-1
12903,-1
16711,-1
37798,-1
26353,-1
1682,-1
9288,-1
32772,-1
39447,-1
25002,-1
23058,-1
22602,-1
39139,-1
7096,-1
18955,-1
24672,-1
35332,1
6013,-1
37860,-1
26791,-1
39813,-1
33903,-1
39937,-1
12179,1
9370,-1
32756,-1
18597,-1
39062,-1
9681,-1
33001,-1
10876,-1
17034,-1
11852,-1
36417,-1
29637,-1
6326,-1
4564,1
25900,-1
550,-1
3930,-1
22186,-1
21016,1
33553,-1
22871,-1
9532,-1
24367,-1
20110,-1
31742,1
1033,-1
38966,-1
30283,1
70,-1
39796,-1
12507,-1
25366,-1
13958,-1
3177,-1
21579,-1
853,-1
6346,-1
29625,-1
6394,-1
2730,-1
39249,-1
25486,-1
29242,-1
7827,-1
8899,-1
9480,-1
28346,1
24150,-1
24620,-1
4285,-1
7298,-1
12421,-1
24190,-1
28560,-1
36094,-1
29938,-1
33017,-1
25863,-1
35815,-1
9211,-1
128,-1
36815,-1
34082,-1
38313,-1
15986,-1
18345,-1
18838,-1
2299,-1
8368,-1
35844,-1
22879,-1
4400,-1
19245,-1
3843,1
9747,1
31869,1
37814,-1
11658,-1
26135,-1
24100,1
3269,-1
28642,1
37686,-1
11567,-1
1687,-1
14303,-1
6432,-1
23025,-1
38260,-1
8897,-1
8957,-1
19003,-1
26394,-1
14545,-1
34918,-1
15959,-1
6759,-1
19490,-1
20820,-1
1673,-1
8082,-1
17846,-1
22078,-1
14948,-1
5010,-1
37070,-1
30072,1
6314,-1
17538,1
31614,-1
11607,-1
1467,-1
1895,-1
37468,-1
8857,-1
10592,-1
26591,-1
23045,-1
17588,-1
32403,-1
2851,-1
28407,-1
30271,-1
27889,-1
23119,-1
25099,-1
35341,-1
14064,-1
16606,1
20693,-1
6648,-1
5352,-1
19048,-1
14806,1
29618,-1
16423,1
2830,-1
35357,-1
27639,-1
10470,-1
33140,-1
37367,1
38547,-1
33027,-1
28410,-1
38217,-1
15826,-1
29609,-1
10378,-1
23358,-1
16386,-1
33824,-1
23305,1
38636,-1
28344,-1
4168,-1
12983,-1
2907,-1
22132,-1
39578,-1
18363,-1
2276,-1
12745,-1
39508,-1
37196,-1
21697,-1
28136,-1
25725,1
15469,-1
3818,-1
10969,-1
1331,-1
23224,-1
26818,-1
36456,-1
33225,-1
3979,-1
35308,-1
30331,-1
15871,-1
31229,-1
30688,-1
6328,-1
19916,-1
34451,-1
34575,1
28882,-1
14229,-1
24616,-1
2622,1
15601,-1
1503,-1
17672,-1
943,-1
30168,1
30084,-1
8489,-1
14458,-1
13053,-1
26269,-1
31500,-1
27146,-1
4203,-1
32305,-1
27316,-1
24799,-1
20650,-1
926,-1
27054,-1
37068,-1
3000,-1
21759,-1
31985,-1
27585,-1
8013,-1
9240,-1
23420,-1
26042,-1
8564,-1
33490,1
34504,-1
27697,-1
17678,-1
39619,-1
17561,-1
1731,-1
936,1
11487,-1
38307,-1
37347,1
29288,-1
30195,-1
32552,-1
20318,-1
39050,-1
10186,-1
38055,-1
20406,-1
39822,1
6646,1
1451,-1
21434,-1
23192,-1
9235,-1
21887,-1
31919,-1
8042,1
9282,-1
22526,-1
39150,-1
22389,-1
13075,1
22196,-1
6600,-1
3840,-1
34889,-1
2635,-1
17222,-1
27979,-1
30148,-1
23975,-1
28630,-1
3104,-1
29067,-1
37395,1
18087,-1
32647,-1
8610,-1
36725,-1
1483,1
27047,-1
26930,-1
10721,-1
36431,-1
2445,-1
6014,1
8277,-1
19293,-1
4563,-1
311,-1
31786,-1
14526,1
30674,-1
24402,1
11570,-1
32790,-1
1291,-1
28010,-1
38701,-1
3168,-1
32281,-1
9444,1
21455,-1
22379,-1
10562,-1
5225,-1
25893,-1
18751,-1
3214,-1
4156,-1
9632,1
38832,-1
19002,-1
33809,-1
19315,-1
18644,-1
5199,-1
15771,-1
3425,-1
39046,-1
34014,-1
38711,-1
36499,-1
23955,-1
36826,-1
17048,-1
29049,-1
5936,-1
6708,1
1398,-1
38831,-1
17079,-1
28776,-1
31764,-1
31805,-1
19458,-1
25158,-1
5035,-1
17078,-1
18662,-1
29884,-1
26516,-1
35892,-1
9164,-1
37155,-1
24020,1
17160,1
32338,-1
20050,-1
31649,-1
24482,1
2856,-1
37222,-1
27203,-1
39016,-1
28705,-1
19524,-1
26278,-1
13976,-1
8413,-1
26520,-1
35539,-1
22181,-1
2885,-1
11477,1
30010,-1
30410,-1
33844,-1
13167,-1
19025,-1
13370,-1
38882,-1
469,-1
39785,-1
26273,-1
35663,-1
12050,-1
33738,-1
13185,-1
21496,-1
34304,1
10880,-1
17542,-1
37406,-1
21114,-1
7264,-1
144,-1
5148,-1
38537,-1
14117,-1
21813,-1
32142,1
22324,-1
8879,-1
22799,-1
36984,-1
20450,-1
15609,1
22385,-1
28998,-1
31691,-1
1992,-1
7337,-1
14844,-1
38650,-1
17348,-1
32676,-1
39332,-1
14625,-1
5215,-1
17987,-1
1034,-1
22236,-1
23534,-1
4650,-1
5071,-1
26114,-1
36445,-1
10873,-1
896,-1
38279,-1
24017,-1
879,-1
18585,-1
10888,-1
28944,-1
35438,-1
39550,-1
29989,1
36162,-1
23552,-1
6832,-1
31984,-1
39524,-1
8845,-1
29226,-1
7364,-1
27744,-1
8735,-1
34101,-1
22724,-1
32809,-1
9398,-1
19833,-1
33145,-1
5954,-1
11191,-1
14777,-1
470,-1
10536,-1
27707,-1
3277,-1
37317,-1
4068,-1
24927,-1
33868,1
39949,-1
2055,-1
10059,-1
16188,-1
5020,-1
16657,-1
13,-1
19145,-1
8821,-1
28159,-1
23628,-1
12107,-1
1319,-1
10881,1
31381,-1
25299,-1
30165,-1
21549,-1
34550,-1
18131,-1
26207,-1
14160,-1
16875,-1
25424,-1
16594,-1
8976,-1
33679,-1
22944,1
21437,-1
11958,-1
8085,-1
1791,-1
13950,-1
14084,-1
19892,-1
10552,-1
12299,1
39451,-1
1043,-1
19386,-1
1213,-1
4047,-1
499,-1
2331,-1
34478,-1
15353,-1
7528,-1
7133,-1
19663,-1
11187,-1
25775,-1
38972,-1
13732,-1
31799,-1
7947,-1
16826,-1
15484,-1
22095,-1
32029,1
30318,-1
31867,-1
27291,-1
29380,-1
37411,-1
2000,-1
24167,-1
31849,-1
15809,-1
22822,-1
4387,-1
32027,-1
20453,-1
39496,-1
9266,-1
532,-1
3102,-1
19616,-1
37723,-1
29310,-1
22827,-1
14505,-1
11225,1
18737,-1
631,1
8288,-1
26112,-1
24361,-1
39423,-1
16305,-1
6161,-1
21491,-1
29574,-1
15351,-1
21098,-1
24186,-1
1962,-1
11270,-1
28636,-1
33113,-1
8687,-1
27879,-1
1786,-1
33359,-1
28300,-1
20876,-1
26836,1
19193,-1
12900,-1
26434,1
33922,-1
14759,-1
8586,-1
10669,1
29611,-1
10560,-1
12408,-1
6803,-1
35524,1
37050,-1
34554,-1
12488,-1
21614,-1
4943,-1
32487,-1
25699,-1
24978,-1
13505,-1
12724,-1
1077,-1
17979,-1
1174,-1
1808,1
36557,-1
15393,-1
30196,-1
1323,-1
29501,-1
25016,-1
22147,-1
13658,-1
16104,-1
596,-1
1395,-1
7908,-1
31690,-1
14646,-1
1072,-1
21284,-1
9060,-1
30012,-1
36496,-1
30924,1
22893,-1
1478,-1
20216,-1
3785,-1
18649,-1
10311,-1
11015,-1
25379,-1
14149,-1
14384,-1
15475,-1
471,-1
21893,-1
16953,-1
20984,-1
2362,-1
30934,-1
33429,-1
30404,-1
25134,-1
2265,-1
21805,-1
9588,-1
27849,-1
23159,-1
19009,-1
23657,-1
9619,-1
21585,-1
2982,-1
26083,-1
25406,-1
21541,-1
14875,-1
19543,-1
8677,1
19214,-1
30325,-1
29779,-1
21666,-1
18005,-1
5712,-1
14764,-1
35991,-1
24631,-1
29660,-1
28507,-1
2231,1
4569,-1
7277,-1
39464,-1
19854,-1
28255,-1
26755,-1
1993,-1
8871,-1
3105,-1
23740,-1
21892,-1
7028,-1
27400,-1
428,-1
15951,-1
22162,-1
2240,-1
26908,-1
17827,-1
96,-1
37826,1
35588,1
23461,-1
17024,-1
35430,-1
12759,-1
2020,-1
18481,-1
23469,-1
29177,-1
24388,-1
22810,-1
14843,-1
30248,-1
25959,-1
15420,-1
27120,-1
28781,-1
2868,-1
18985,1
15637,-1
217,-1
3548,-1
1162,-1
15392,-1
11547,-1
36293,-1
28388,-1
9170,-1
13681,-1
25436,-1
2505,-1
8858,1
18707,-1
16739,-1
38190,1
1413,-1
12469,-1
10849,-1
31221,-1
24261,-1
24483,-1
5304,-1
34232,-1
34041,-1
10397,-1
15102,-1
16166,-1
38837,-1
31494,-1
36092,-1
19150,-1
1640,-1
12630,-1
11868,-1
8612,-1
5881,-1
28056,-1
447,-1
33410,-1
15594,-1
30201,-1
4289,-1
22430,-1
13097,-1
30737,-1
35156,-1
14320,-1
27986,-1
12830,-1
1900,1
36217,1
29128,-1
18373,-1
18393,-1
3431,-1
35383,-1
17008,-1
8106,-1
12613,-1
4520,-1
1829,-1
39558,-1
686,-1
19341,-1
18111,-1
26778,-1
9661,-1
3935,-1
34640,-1
8755,-1
11105,-1
35159,-1
37394,-1
37122,-1
16098,-1
12528,-1
18112,-1
19111,-1
38863,-1
38663,-1
29839,-1
31664,-1
1562,-1
584,-1
14156,-1
2528,-1
11450,-1
23547,-1
18398,-1
34770,-1
7122,-1
23294,1
12972,-1
12883,-1
1681,-1
24284,-1
6899,-1
16345,-1
22665,-1
32058,1
19392,-1
22071,1
14275,-1
28433,-1
7571,-1
8970,-1
26504,-1
39131,1
12628,-1
20404,1
14615,1
13659,-1
18853,-1
26073,-1
22790,-1
22817,-1
22749,-1
18010,-1
23200,-1
19719,-1
31462,-1
26465,1
724,-1
25094,-1
23477,-1
26089,-1
37282,-1
15452,-1
37856,-1
18085,-1
5343,1
25330,-1
15606,-1
20351,-1
8765,-1
9237,-1
36082,-1
20838,-1
16268,-1
13852,-1
14822,-1
34358,-1
18697,-1
29563,-1
11257,-1
13952,-1
28069,-1
31739,-1
26875,-1
20021,-1
18462,-1
10183,-1
31167,-1
35155,-1
6427,-1
39231,-1
37425,-1
33148,-1
10742,-1
19291,-1
26858,-1
36450,-1
20636,-1
26077,-1
25756,-1
7568,1
12887,-1
28780,-1
17775,-1
19099,-1
32998,-1
29776,-1
33335,-1
13398,-1
1023,-1
3928,-1
10735,-1
29260,-1
37809,-1
26285,-1
22812,-1
4771,-1
16408,-1
2585,-1
26895,-1
33749,-1
34938,-1
13766,-1
6267,-1
11234,-1
7303,-1
38747,-1
18172,-1
10801,-1
1763,-1
12480,-1
31081,-1
36409,-1
36335,-1
30446,-1
1232,-1
33956,-1
30117,-1
18189,-1
6056,1
3933,1
21402,-1
19401,-1
39123,-1
13451,-1
2149,-1
38495,-1
15625,-1
25483,-1
7090,-1
38308,-1
28870,1
34477,-1
28580,-1
16250,-1
7964,-1
37696,-1
27842,-1
20723,-1
23012,-1
22887,1
8768,-1
1303,-1
16860,1
33021,-1
36192,-1
37385,-1
34105,-1
2608,1
16296,-1
36538,-1
22171,-1
18575,-1
12784,-1
10917,-1
16904,-1
8230,1
5726,-1
8256,-1
15532,-1
18353,-1
29488,-1
21481,-1
38525,-1
429,-1
34744,-1
23493,-1
30777,-1
15593,-1
21410,-1
20990,-1
19594,-1
21557,-1
24145,-1
25328,-1
22802,-1
25924,-1
32354,-1
38416,-1
36279,-1
26440,1
9038,-1
38023,-1
17735,-1
36117,-1
23127,-1
13202,-1
16613,-1
39026,-1
14555,-1
16410,-1
38836,-1
13360,-1
210,-1
29399,-1
5231,-1
21115,-1
25489,-1
24445,-1
8416,-1
32448,-1
39577,-1
23449,-1
27365,-1
23304,-1
25349,-1
30837,-1
26006,-1
7685,1
31687,-1
8814,-1
16255,-1
15311,-1
4202,-1
38894,-1
263,-1
12524,-1
32858,-1
273,-1
34463,-1
34021,-1
18826,-1
30486,-1
6424,-1
15137,-1
1194,-1
15363,-1
2300,-1
1426,-1
4810,-1
33149,-1
5563,-1
14540,-1
13377,-1
22070,-1
24459,-1
28329,-1
27821,-1
2111,-1
9766,-1
3161,-1
3944,-1
24839,-1
39597,-1
15331,-1
24608,-1
28662,-1
10035,-1
33245,-1
25458,-1
2744,-1
39162,-1
7822,-1
32782,1
11032,-1
19045,-1
6675,-1
24443,-1
23685,-1
18892,-1
38846,-1
35295,-1
16597,-1
37037,-1
30662,-1
14295,-1
34098,-1
15482,-1
5869,-1
15242,-1
37980,-1
1157,-1
35751,-1
22848,-1
8059,-1
32131,-1
2814,-1
36204,-1
24967,-1
13063,-1
27061,-1
17559,-1
18674,-1
34948,-1
10081,-1
30364,1
26839,-1
38634,-1
36040,-1
13954,-1
28274,-1
9381,-1
19031,-1
22645,-1
15937,1
26130,-1
12596,-1
15209,1
25239,-1
343,1
24158,-1
37503,-1
11438,-1
22188,-1
20397,-1
6670,-1
11849,-1
38386,-1
23951,-1
11990,-1
13415,-1
2325,-1
39512,-1
7268,-1
12966,-1
6988,-1
33514,-1
13713,-1
7775,-1
37192,-1
10882,-1
8020,-1
32530,-1
3615,-1
36113,-1
15241,-1
2351,-1
32102,1
4160,-1
33865,-1
25794,-1
31785,-1
10930,-1
17455,-1
17250,-1
27783,-1
8087,-1
12586,-1
4974,-1
21862,-1
8206,-1
3861,-1
505,-1
25495,-1
15884,-1
27780,-1
36400,-1
8350,-1
15931,-1
19857,-1
6324,-1
30095,-1
15711,-1
19802,-1
9263,-1
12859,-1
37161,-1
36485,-1
5946,-1
2496,-1
11591,-1
23588,1
32098,-1
9591,-1
27813,-1
38653,-1
29869,-1
22565,-1
13396,1
7112,-1
25687,-1
322,-1
14168,1
38242,-1
30312,-1
22175,-1
34416,-1
16036,-1
32709,-1
27881,-1
15124,-1
28171,-1
33479,1
29138,-1
621,-1
20640,-1
29050,-1
4740,-1
18180,-1
18266,-1
30290,-1
35597,1
21693,-1
29386,-1
3018,-1
30433,-1
18113,-1
9163,-1
38469,-1
33389,-1
509,-1
35273,1
12033,-1
34300,-1
17503,-1
31903,-1
29000,-1
39190,-1
26509,-1
37267,-1
25802,-1
23344,-1
36157,-1
33179,-1
37526,-1
32614,-1
6482,-1
7672,-1
22046,-1
38024,-1
23733,-1
16145,-1
34115,-1
29787,-1
18422,-1
20737,-1
3220,-1
25956,1
2772,1
19922,-1
748,-1
37705,-1
39413,-1
377,-1
33883,-1
24780,-1
39538,-1
34270,-1
39707,-1
30470,-1
9708,-1
26677,-1
38630,-1
24128,1
25449,1
7212,-1
35333,-1
17362,-1
20604,-1
14741,-1
18370,-1
32866,-1
27271,1
31693,-1
180,-1
1616,-1
5567,-1
18941,-1
22938,-1
20109,-1
39918,-1
11206,-1
21457,-1
21268,-1
31874,-1
21018,-1
22739,-1
31357,-1
36791,-1
8304,1
35781,-1
6186,-1
29642,-1
39173,-1
9284,-1
18735,-1
21421,-1
15897,-1
32221,-1
6146,-1
13754,-1
38700,-1
13033,-1
2531,-1
14763,-1
17324,-1
17075,-1
30066,-1
14575,-1
7237,-1
37113,-1
11121,-1
20394,-1
8993,-1
3290,-1
1346,-1
1179,1
22210,-1
39133,-1
36066,1
36255,-1
38371,-1
33545,-1
12230,-1
28160,-1
39788,-1
6246,-1
37369,-1
19243,-1
34439,-1
32569,-1
39224,-1
21594,-1
35269,-1
30657,-1
4556,-1
8040,-1
19647,-1
32705,-1
8140,-1
38159,-1
29370,-1
501,-1
8904,-1
31961,-1
2893,-1
9270,-1
12051,-1
26439,-1
36550,-1
28203,-1
33383,-1
8274,-1
34505,-1
33748,-1
14053,-1
33814,-1
19316,-1
1332,-1
4032,-1
3243,-1
10700,-1
278,-1
18045,-1
34048,-1
25994,1
4504,-1
10092,-1
374,-1
30458,-1
2087,-1
37781,-1
10901,-1
38276,-1
26011,-1
3418,-1
12249,-1
3593,1
37511,-1
38598,-1
15965,1
14872,-1
3931,-1
16587,-1
17995,-1
8570,-1
20481,-1
24825,-1
16776,-1
6936,-1
35836,-1
31623,-1
38682,-1
23399,-1
19261,1
37575,-1
10968,-1
3502,-1
21558,-1
2269,-1
20485,-1
14124,-1
3460,-1
4962,-1
14452,-1
396,-1
9172,-1
23367,-1
2322,-1
35721,-1
24200,-1
3193,-1
19837,1
19210,-1
10477,-1
31573,-1
20503,-1
11222,-1
15751,-1
28749,-1
16341,-1
17919,-1
25672,-1
11237,-1
33934,-1
32398,-1
21992,-1
17431,-1
31735,-1
33960,-1
9761,-1
36821,-1
8354,-1
21283,-1
16615,-1
38864,-1
34031,-1
29333,-1
22352,-1
12372,-1
22110,-1
30292,-1
18291,1
7616,-1
3049,-1
36617,-1
475,-1
21176,-1
23022,-1
35533,-1
34882,-1
928,-1
12484,-1
32190,-1
37872,-1
19687,-1
7886,-1
19732,-1
9559,-1
30870,-1
34339,-1
16851,-1
5780,-1
36430,-1
24180,-1
457,-1
18859,1
5233,-1
5286,-1
21895,-1
21461,-1
13299,-1
19354,-1
28431,-1
31175,-1
1219,-1
28987,-1
17720,-1
23258,-1
23994,-1
31975,-1
28601,-1
36054,-1
28317,-1
30229,1
23950,-1
2290,-1
33081,-1
31595,-1
33049,-1
34408,-1
16421,-1
4815,-1
29112,-1
12477,-1
4,-1
23923,-1
8961,-1
16841,1
1668,-1
21794,-1
35380,-1
36473,-1
26824,-1
6887,-1
30944,-1
30376,-1
39612,-1
4201,-1
5961,-1
31512,-1
8049,-1
2645,-1
33807,-1
30244,-1
1000,-1
