,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150,Var151,Var152,Var153,Var154,Var155,Var156,Var157,Var158,Var159,Var160,Var161,Var162,Var163,Var164,Var165,Var166,Var167,Var168,Var169,Var170,Var171,Var172,Var173,Var174,Var175,Var176,Var177,Var178,Var179,Var180,Var181,Var182,Var183,Var184,Var185,Var186,Var187,Var188,Var189,Var190,Var191,Var192,Var193,Var194,Var195,Var196,Var197,Var198,Var199,Var200,Var201,Var202,Var203,Var204,Var205,Var206,Var207,Var208,Var209,Var210,Var211,Var212,Var213,Var214,Var215,Var216,Var217,Var218,Var219,Var220,Var221,Var222,Var223,Var224,Var225,Var226,Var227,Var228,Var229,Var230
22241,,,,,,1855.0,7.0,,,,,,96.0,,,,,,,,296.0,370.0,,2.0,192.0,,,286.96,,,,,,,5.0,,,5600694.0,,,,,,0.0,,,,,,,,,,,,,3.66097,,,,,,,,9.0,,,,,,,3.0,62,0.0,,2165616.0,,0.0,,,54085.8,,35.0,,0.0,,,,,,,,,56331.0,,,,,,,,,,,,,,,40.0,,,56.0,140417.2,,,,,,1050.0,,,,84.0,,1782.0,-20.0,,,,,,8.0,3682350.0,256314.0,,,,,,565.0,,,0.0,9.0,,,,,18354.0,,,,10463040.0,,,,,,,44.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,CxSr4RXktW,RO12,SEuy,taul,1K8T,FgS1,yB8VVdO,nQUq7hGe64,trdyVvG,smXZ,UUiV,9_Y1,ZKJc,09_Q,IYzP,me75fM6ugJ,kIsH,,uKAI,Mtgm,NhsEn4L,,_PnUbhY,,TDceha3,a_LO,UYBR,FzaX,fmK1UQz,oslk,LsdaF5M,LM8l689qOp,,kG3k,7FJQ,RAYp,F2FyR07IdsN7I,am7c,
13787,,,,,,3563.0,7.0,,,,,,0.0,,,,,,,,288.0,360.0,,2.0,104.0,,,220.08,,,,,,,20.0,,,5783742.0,,,,,,0.0,,,,,,,,,,,,,6.449049,,,,,,,,9.0,,,,,,,,58,0.0,,2330744.0,,0.0,,,43958.1,,30.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,64.0,70852.0,,,,,,1710.0,,,,156.0,,837.0,,,,,,,32.0,3553445.0,169270.0,,,,,,25.0,,,0.0,0.0,,,,,120057.0,,,,10167720.0,,,,,,,32.0,,,426546.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,_v2vyx7IEC,RO12,,taul,1K8T,FgS1,H7Fp6vu,RuVy67M,,,Ef1y,9_Y1,RcM7,VpdQ,IYzP,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,kZJtVhC,A1VJ,UYBR,FzaX,MVOjtxg,oslk,Zwra5gA,LM8l689qOp,,,szEZ,RAYp,F2FyR07IdsN7I,mj86,
5128,,,,0.0,,,,,,,,,,,,,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,5.727836,,,,,,,,,,,,,,,,8,,,,,,,,,0.0,,,,,,,,,,,,,,,,,72.0,,0.0,5181.75,,,,0.0,,,,,,,-1980128.0,,,,28446.0,,,,,,,0.0,,-18.0,,,,,,,,,22.12,,,0.0,,,,,,,72.0,,,,,59740.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,157026.0,,,,,,,,,,_v2gUHXZeb,RO12,,taul,1K8T,lK27,TwRo8uU,tIPy2L0NRpp7O,,,T_K4,9_Y1,STGZ,09_Q,,me75fM6ugJ,kIsH,,uKAI,Mtgm,NhsEn4L,,,,7WwCtIM,Rr4B,cJvF,OFWH,Oa96V3V,oslk,zFwT3Cb,LM8l689qOp,,,453m,RAYp,F2FyR07IdsN7I,,
9125,,,,,,819.0,0.0,,,,,,0.0,,,,,,,,200.0,250.0,,0.0,96.0,,,301.36,,,,,,,0.0,,,6188580.0,,,,,,0.0,,,,,,,,,,,,,6.5238190000000005,,,,,,,,9.0,,,,,,,,30,0.0,,1686680.0,,0.0,,,155475.0,,25.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,32.0,139966.4,,,,,,585.0,,,,96.0,,2052.0,-28.0,,,,,,0.0,2065880.0,704804.0,,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,10118760.0,,,,,,,22.0,,,539034.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,2jiWq69cTy,RO12,,taul,1K8T,ssAy,vLtMhNR,jXIs0KG,,,sfyB,9_Y1,0A_v,VpdQ,IYzP,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,kZJtVhC,9NYs,UYBR,OFWH,ie38iqZ,oslk,35GRt2K,jySVZNlOJy,,,PM2D,RAYp,F2FyR07IdsN7I,,
35041,,,,,,1869.0,7.0,,,,,,312.0,,,,,,,,200.0,250.0,,2.0,96.0,,,166.56,,,,,,,0.0,,,26028.0,,,,,,0.0,,,,,,,,,,,,,0.5817133000000001,,,,,,,,9.0,,,,,,,3.0,166,0.0,,1978864.0,,0.0,,,12815.19,,5.0,,4.0,,,,,,,,,41181.0,,,,,,,,,,,,,,,24.0,,,64.0,-194483.2,,,,,,945.0,,,,24.0,,2601.0,4.0,,,,,,0.0,3531015.0,419672.0,,,,,,690.0,,,0.0,27.0,,,,,362761.0,,,,4808480.0,,,,,,,46.0,,,198300.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,YddTmBtueT,2Knk1KF,SEuy,taul,1K8T,JLbT,fqeOwLG,Hz673939hSRjL,wAxm6iH,smXZ,wI6G,9_Y1,47ra,VpdQ,hAFG,7M47J5GA0pTYIFxg5uy,kIsH,,uKAI,L84s,MeOIHRG3F9,,bvn1LSr,,_Jd8MkS,e8bk,cJvF,FzaX,fxJmel6,zCkv,WfsWw2A,LM8l689qOp,,kG3k,rgKb,ZI9m,iyHGyLCEkQ,mj86,
3510,,,,,,91.0,,,,,,,,,,,,,,,128.0,160.0,,2.0,8.0,,,220.08,,,,,,,10.0,,,504498.0,,,,,,0.0,,,,,,,,,,,,,4.407178,,,,,,,,,,,,,,,,44,,,1793712.0,,0.0,,,123548.4,,25.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,48.0,-447860.0,,,,,,160.0,,,,30.0,,,-30.0,,,,,,16.0,4583750.0,13604.0,,,,,,,,,0.0,9.0,,,,,74347.0,,,,5271400.0,,,,,,,26.0,,,416268.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,51rBcmz45j,RO12,,taul,1K8T,TyGl,esxkA1P,76j2P_OLn0,,,AsSX,9_Y1,KubS,VpdQ,zm5i,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,kZJtVhC,dNme,cJvF,,EPImS85,oslk,MI8s5nE,,,,Qcbd,RAYp,F2FyR07IdsN7I,,
16441,,,,,,1736.0,14.0,,,,,,144.0,,,,,,,,324.0,405.0,,14.0,184.0,,,200.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,3.9867550000000005,,,,,,,,27.0,,,,,,,,82,56.0,,1264872.0,,0.0,,,35627.4,,5.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,128.0,,,144.0,204824.8,,,,,,1185.0,,,,0.0,,7182.0,-30.0,,,,,,0.0,1431700.0,359046.0,,,,,,45.0,,,0.0,9.0,,,,,246099.0,,,,2792268.0,,,,,,,58.0,,,372330.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,1GdOj17ejg,RO12,,taul,1K8T,aD1X,sO6uYde,hcbITBmThX,qHmh47h,,fkDg,9_Y1,iVbl,VpdQ,sYC_,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,LyAYLay,,7Wwzptu,t82w,cJvF,FzaX,0MQv66D,oslk,J7WYaaM,jySVZNlOJy,,ELof,7aLG,RAYp,F2FyR07IdsN7I,mj86,
19463,,,,,,1050.0,0.0,,,,,,0.0,,,,,,,,192.0,240.0,,6.0,72.0,,,137.68,,,,,,,0.0,,,206772.0,,,,,,0.0,,,,,,,,,,,,,5.87054,,,,,,,,9.0,,,,,,,,118,0.0,,956888.0,,0.0,,,66284.41,,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,72.0,376456.4,,,,,,685.0,,,,18.0,,17001.0,,,,,,,0.0,3939410.0,409472.0,,,,,,0.0,,,0.0,0.0,,,,,569289.0,,,,5224040.0,,,,,,,42.0,,,913098.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,ZCNZptRvgr,2Knk1KF,SEuy,taul,1K8T,wGW5,Wtcc5gJ,V_KR_LD,nG5Znfb,smXZ,c0gQ,9_Y1,t_4G,VpdQ,IYzP,me75fM6ugJ,kIsH,,g5HH,L84s,NhsEn4L,,2fQ2klZ,,teAyFc5,hOKt,UYBR,FzaX,_McRoKG,oslk,pWu6FsY,jySVZNlOJy,,xG3x,Qu4f,RAYp,55YFVY9,mj86,
26283,,,,,,749.0,0.0,,,,,,0.0,,,,,,,,200.0,250.0,,6.0,88.0,,,326.48,,,,,,,0.0,,,994344.0,,,,,,0.0,,,,,,,,,,,,,2.307199,,,,,,,,9.0,,,,,,,3.0,16,0.0,,2879504.0,,0.0,,,33920.1,,25.0,,8.0,,,,,,,,,443511.0,,,,,,,,,,,,,,,56.0,,,48.0,-416.856,,,,,,1580.0,,,,18.0,,0.0,4.0,,,,,,0.0,4751280.0,1497914.0,,,,,,0.0,,,0.0,27.0,,,,,1731100.0,,,,10321000.0,,,,,,,42.0,,,1622604.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,DHegUHXZeb,RO12,,taul,1K8T,h3JW,7z8szr3,GJg0GlB3WS,,,F4vN,9_Y1,STGZ,VpdQ,IYzP,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,cUQdHad,e9fs,UYBR,FzaX,Nvc6w_1,oslk,EXUR6zD,LM8l689qOp,,,453m,RAYp,F2FyR07IdsN7I,,
36216,,,,,,9492.0,7.0,,,,,,3392.0,,,,,,,,952.0,1190.0,,12.0,128.0,,,220.08,,,,,,,0.0,,,86154.0,,,,,,0.0,,,,,,,,,,,,,2.0226450000000002,,,,,,,,9.0,,,,,,,,136,287.0,,429144.0,,0.0,,,2607.981,,25.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,248.0,,,408.0,-95001.6,,,,,,4050.0,,,,90.0,,40374.0,-16.0,,,,,,0.0,714585.0,30310.0,,,,,,13795.0,,,0.0,18.0,,,,,39151.0,,,,955800.0,,,,,,,284.0,,,58248.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,348.0,,,crIgUHSK8h,2Knk1KF,SEuy,taul,1K8T,yMvB,WlFnZSn,jXIs0KG,MD841cd,smXZ,gMVu,9_Y1,RVjC,VpdQ,sYC_,me75fM6ugJ,kIsH,,uKAI,Mtgm,NhsEn4L,,dnUvfSD,,beK4AFX,YihF,UYBR,OFWH,2DULFbQ,oslk,VpmCBom,LM8l689qOp,,kG3k,FSa2,RAYp,55YFVY9,mj86,
17407,,,,,,406.0,7.0,,,,,,3048.0,,,,,,,,168.0,210.0,,2.0,112.0,,,166.56,,,,,,,0.0,,,34944.0,,,,,,0.0,,,,,,,,,,,,,0.5345012,,,,,,,,9.0,,,,,,,3.0,136,0.0,,66664.0,,0.0,,,11675.34,,0.0,,4.0,,,,,,,,,57033.0,,,,,,,,,,,,,,,8.0,,,24.0,-95670.8,,,,,,580.0,,,,12.0,,106758.0,4.0,,,,,,0.0,432965.0,115998.0,,,,,,505.0,,,0.0,9.0,,,,,63070.0,,,,678732.0,,,,,,,42.0,,,65604.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,258.0,,,dukmfo8zhV,2Knk1KF,,taul,1K8T,LloI,OmR3ZVS,V6XUlxabJ4VaD,EvC2hQc,,DXGE,9_Y1,wGwL,VpdQ,haYg,me75fM6ugJ,kIsH,,uKAI,L84s,XfqtO3UdzaXh_,,yS2i1eL,,11p4mKe,YovW,cJvF,FzaX,Khletck,oslk,7pUldxq,LM8l689qOp,,ELof,wX53,RAYp,55YFVY9,am7c,
10919,,,,,,707.0,0.0,,,,,,4.0,,,,,,,,168.0,210.0,,10.0,120.0,,,232.32,,,,,,,0.0,,,336594.0,,,,,,0.0,,,,,,,,,,,,,5.656697,,,,,,,,9.0,,,,,,,,58,0.0,,383256.0,,0.0,,,22332.27,,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,40.0,-1687212.0,,,,,,475.0,,,,24.0,,1386.0,-26.0,,,,,,0.0,561120.0,249186.0,,,,,,0.0,,,0.0,9.0,,,,,309904.0,,,,1414464.0,,,,,,,24.0,,,73146.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,bZkvyxLkBI,RO12,SEuy,taul,1K8T,lK27,b4AviRg,UFIdC8I,5PcmZyS,smXZ,ChRG,9_Y1,vzJD,VpdQ,IYzP,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,EJQbLbv,,TDceha3,TcjF,UYBR,FzaX,KNX8yXf,oslk,PYurS2Y,LM8l689qOp,,kG3k,xb3V,RAYp,F2FyR07IdsN7I,mj86,
30866,,,,,,700.0,0.0,,,,,,0.0,,,,,,,,624.0,780.0,,6.0,288.0,,,186.64,,,,,,,0.0,,,1144284.0,,,,,,0.0,,,,,,,,,,,,,2.114505,,,,,,,,9.0,,,,,,,,18,0.0,,1581304.0,,0.0,,,48763.8,,80.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,152.0,,,152.0,-186690.0,,,,,,1610.0,,,,120.0,,0.0,-6.0,,,,,,0.0,3129340.0,1018166.0,,,,,,0.0,,,0.0,0.0,,,,,458171.0,,,,7318960.0,,,,,,,96.0,,,680442.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,9hRmfo875g,RO12,,taul,1K8T,QQSE,25Ax0bI,Oe4E7cR6Kt,,,mFrF,9_Y1,wGwL,VpdQ,IYzP,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,uZL60aU,U8Oz,cJvF,FzaX,8c868SY,oslk,PQROEra,LM8l689qOp,,,wX53,RAYp,F2FyR07IdsN7I,,
