Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150,Var151,Var152,Var153,Var154,Var155,Var156,Var157,Var158,Var159,Var160,Var161,Var162,Var163,Var164,Var165,Var166,Var167,Var168,Var169,Var170,Var171,Var172,Var173,Var174,Var175,Var176,Var177,Var178,Var179,Var180,Var181,Var182,Var183,Var184,Var185,Var186,Var187,Var188,Var189,Var190,Var191,Var192,Var193,Var194,Var195,Var196,Var197,Var198,Var199,Var200,Var201,Var202,Var203,Var204,Var205,Var206,Var207,Var208,Var209,Var210,Var211,Var212,Var213,Var214,Var215,Var216,Var217,Var218,Var219,Var220,Var221,Var222,Var223,Var224,Var225,Var226,Var227,Var228,Var229,Var230,0
,,,,,4774.0,7.0,,,,,,28.0,,,,,,,,716.0,895.0,,8.0,264.0,,,307.04,,,,,,,0.0,,,1082502.0,,,,,,0.0,,,,,,,,,,,,,3.46614,,,,,,,,9.0,,,,,,,3.0,34,35.0,,1308040.0,,6.0,,,8527.38,,45.0,,22.0,,,,,,,,,1574055.0,,,,,,,,,,,,,,,128.0,,,112.0,-84672.8,,,,,,2730.0,,,,264.0,,747.0,-18.0,,,,,,16.0,2159335.0,348224.0,,,,,,730.0,,,0.0,9.0,,,,,118846.0,,,,4340800.0,,,,,,,136.0,,,377544.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,jg6vyxLkBI,RO12,,taul,1K8T,TIPl,ka_ns41,_03xtaMIkZsn1,,,VHh0,9_Y1,FbIm,VpdQ,43pnToF,me75fM6ugJ,kIsH,,uKAI,Mtgm,NhsEn4L,,,,mAjbk_S,CnTg,UYBR,FzaX,1YVfGrO,oslk,fXVEsaq,LM8l689qOp,,,xb3V,RAYp,F2FyR07IdsN7I,,,-1
,,,,,2520.0,28.0,,,,,,432.0,,,,,,,,372.0,465.0,,4.0,280.0,,,133.12,,,,,,,0.0,,,319926.0,,,,,,0.0,,,,,,,,,,,,,3.766075,,,,,,,,36.0,,,,,,,12.0,130,14.0,,627080.0,,0.0,,,11792.61,,10.0,,44.0,,,,,,,,,42459.0,,,,,,,,,,,,,,,128.0,,,128.0,165978.0,,,,,,1110.0,,,,30.0,,40149.0,,,,,,,0.0,287230.0,281952.0,,,,,,2170.0,,,0.0,9.0,,,,,256767.0,,,,1500180.0,,,,,,,26.0,,,192150.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,dRavyx7ejg,2Knk1KF,,taul,1K8T,0Xwj,PHNvXy8,yiXTc3CbD1,22ZzyG3,,wO7g,HLqf,qaiO,VpdQ,hAFG,NKv3VA1BpP,sBgB,,uKAI,L84s,Ie_5MZs,,EUHsJIU,,teAjUwW,dOU3,cJvF,FzaX,UF16siJ,zCkv,APgdzOv,LM8l689qOp,,ELof,szEZ,6fzt,Zy3gnGM,am7c,,-1
,,,,,630.0,7.0,,,,,,3004.0,,,,,,,,116.0,145.0,,0.0,176.0,,,203.36,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,2.652211,,,,,,,,27.0,,,,,,,3.0,76,525.0,,0.0,,0.0,,,231360.6,,0.0,,12.0,,,,,,,,,0.0,,,,,,,,,,,,,,,24.0,,,0.0,171196.4,,,,,,445.0,,,,0.0,,2205.0,,,,,,,0.0,750.0,3795380.0,,,,,,360.0,,,0.0,0.0,,,,,0.0,,,,9664960.0,,,,,,,2.0,,,3110406.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,ZlOBLJED1x,RO12,,taul,1K8T,LXO4,6CXYbuk,y2LuFUfSEo,,,jv62,9_Y1,RcM7,VpdQ,IYzP,Kxdu,kIsH,,3av_,L84s,9pUnzWLbztKTo,,,,y5FiGpF,A1VJ,UYBR,FzaX,ROeipLp,zCkv,K2SqEo9,jySVZNlOJy,,,szEZ,6fzt,am14IcfM7tWLrUmRT52KtA,mj86,,-1
,,,,,539.0,7.0,,,,,,1536.0,,,,,,,,68.0,85.0,,0.0,0.0,,,133.12,,,,,,,0.0,,,5501970.0,,,,,,0.0,,,,,,,,,,,,,0.9010895000000001,,,,,,,,9.0,,,,,,,,156,0.0,,0.0,,0.0,,,170385.9,,25.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,0.0,-303004.4,,,,,,345.0,,,,66.0,,855.0,-22.0,,,,,,0.0,116605.0,0.0,,,,,,365.0,,,0.0,18.0,,,,,0.0,,,,5489280.0,,,,,,,2.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,8I1r4RXXnK,onTuEhrJJQy_H3IHkZku5AFczhYGqxJ890,SEuy,taul,1K8T,0Xwj,qPqChn2,ThrnFOQ,Ct85HnF,smXZ,AItK,HLqf,TFSW,09_Q,kxE9,DHn_WUyBhW_whjA88g9bvA64_,sBgB,,uKAI,Mtgm,CrNX,,aVymDrS,,AuSBTw7,FjrU,cJvF,FzaX,XbZ4jrS,d0EEeJi,3W_upO6,jySVZNlOJy,,kG3k,Xa3G,nIGXDli,iyHGyLCEkQ,,,-1
,,,,0.0,,,,,0.0,,,,,,11.32,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49797,,,0.0,,,,,,,0.0,,0.0,0.0,,,10,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,-657500.0,,,,,,,0.0,,,,,,-24.0,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Iskvyx875g,RO12,,taul,1K8T,0kpG,PyebXKa,8o3HXVS,,,952t,9_Y1,MBhA,sJzTlal,,me75fM6ugJ,kIsH,,uKAI,Mtgm,NhsEn4L,,,,7WwuNea,j6nf,UYBR,FzaX,ZS8OtFs,oslk,e2t7A2G,LM8l689qOp,,,WqMG,RAYp,F2FyR07IdsN7I,,,-1
,,,,,210.0,0.0,,,,,,0.0,,,,,,,,120.0,150.0,,0.0,8.0,,,200.0,,,,,,,5.0,,,10368000.0,,,,,,0.0,,,,,,,,,,,,,5.176245,,,,,,,,9.0,,,,,,,3.0,16,0.0,,0.0,,3.0,,,223404.9,,45.0,,0.0,,,,,,,,,119943.0,,,,,,,,,,,,,,,32.0,,,0.0,59984.4,,,,,,460.0,,,,120.0,,0.0,-30.0,,,,,,24.0,0.0,47518.0,,,,,,0.0,,,6.0,0.0,,,,,0.0,,,,10117440.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,HYTvyx7ejg,AERks4l,,taul,1K8T,7wJ6,ZuclmqV,yLQOdlFTtt,,,Rr4M,9_Y1,qaiO,,IYzP,GjJ35utlTa_GNSvxxpb9ju,kIsH,,uKAI,L84s,JBfYVit4g8,,,,TDctq2l,Qucg,cJvF,FzaX,meWCabK,Al6ZaUT,h2VVb6H,LM8l689qOp,,,szEZ,02N6s8f,xwM2aC7IdeMC0,,,-1
,,,,,1414.0,7.0,,,,,,26980.0,,,,,,,,204.0,255.0,,6.0,64.0,,,166.56,,,,,,,0.0,,,979086.0,,,,,,0.0,,,,,,,,,,,,,2.220466,,,,,,,,9.0,,,,,,,3.0,146,791.0,,728064.0,,0.0,,,74525.7,,20.0,,8.0,,,,,,,,,476958.0,,,,,,,,,,,,,,,72.0,,,56.0,250027.2,,,,,,910.0,,,,42.0,,9288.0,-28.0,,,,,,0.0,1581955.0,627252.0,,,,,,8070.0,,,0.0,18.0,,,,,337974.0,,,,5502240.0,,,,,,,42.0,,,659772.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,zcROj17IEC,rEUOq2QD1qfkRr6qpua,SEuy,taul,1K8T,aD1X,fhk21Ss,NYI_YItAbwl_SO1f,tNsWzBZ,smXZ,WOYY,9_Y1,iVbl,09_Q,wMei,7M47J5GA0pTYIFxg5uy,kIsH,,uKAI,L84s,WsRVNrF85oPU_,,ilusreD,,IoIBhvj,z8Oz,cJvF,qxDb,4UxGlow,zCkv,catzS2D,LM8l689qOp,,kG3k,7aLG,ZI9m,ib5G6X1eUxUn6,am7c,,-1
,,,,,903.0,7.0,,,,,,0.0,,,,,,,,132.0,165.0,,4.0,40.0,,,253.52,,,,,,,0.0,,,4630512.0,,,,,,0.0,,,,,,,,,,,,,3.486007,,,,,,,,9.0,,,,,,,,34,0.0,,3225672.0,,0.0,,,132923.1,,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,40.0,63500.4,,,,,,510.0,,,,60.0,,2142.0,10.0,,,,,,0.0,3479110.0,670946.0,,,,,,10.0,,,0.0,9.0,,,,,1108828.0,,,,9775440.0,,,,,,,20.0,,,1425636.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,294.0,,,py5gUH7ejg,RO12,,taul,1K8T,72yt,lUpdCrr,NYL9GGJZO2StPwF0,,,gUi9,9_Y1,m_h1,VpdQ,zm5i,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,NGZXfGp,LH0H,cJvF,,t39OtFs,oslk,G9lTL5Q,,,,WqMG,RAYp,F2FyR07IdsN7I,,,-1
,,,,,0.0,0.0,,,,,,12.0,,,,,,,,0.0,0.0,,,0.0,,,166.56,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.391583,,,,,,,,9.0,,,,,,,,62,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,0.0,,8568.0,38.0,,,,,,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,186.0,,,AhzZptzip9,RO12,SEuy,taul,1K8T,TyGl,INoV6tQ,Gmi3,pNu8PTy,smXZ,UCOO,9_Y1,t_4G,sJzTlal,IYzP,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,kPx3_wz,,kq0FDQL,t89X,UYBR,qxDb,kj7fGrO,oslk,pHGT3Cb,jySVZNlOJy,,kG3k,Qu4f,RAYp,F2FyR07IdsN7I,,,-1
0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,5.142704,0.0,,,,,0.0,,,0.0,,,,,,,4,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,6.0,,,0.0,,,0.0,,,,,0.0,,,,,-20.0,,,0.0,,0.0,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,333.52,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,RO12,,taul,1K8T,kwI9,DW3heVi,KhDb8PW,,,r8PL,9_Y1,YULl,VpdQ,,me75fM6ugJ,kIsH,,oT7d,Mtgm,NhsEn4L,,,eGzu,TDcrNHf,oyio,UYBR,,THMQrGj,oslk,cObaF5M,,,,FSa2,RAYp,F2FyR07IdsN7I,,,-1
,,,,,14.0,0.0,,,,,,0.0,,,,,,,,80.0,100.0,,0.0,80.0,,,238.72,,,,,,,0.0,,,470934.0,,,,,,0.0,,,,,,,,,,,,,1.422987,,,,,,,,9.0,,,,,,,3.0,12,0.0,,44104.0,,0.0,,,34461.9,,0.0,,2.0,,,,,,,,,17973.0,,,,,,,,,,,,,,,8.0,,,8.0,243706.4,,,,,,100.0,,,,24.0,,0.0,-30.0,,,,,,8.0,264050.0,157960.0,,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,918988.0,,,,,,,8.0,,,83730.0,,,,,,,,,,0.0,,,,,,,,7.0,,,,,,,,,,,dTGmfo8zhV,RO12,,taul,1K8T,AKN1,TaM4iqB,_jTP8ioIlJ,,,jOR8,9_Y1,wGwL,VpdQ,IYzP,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,mAja5EA,tqiw,cJvF,FzaX,bDI871e,oslk,_54nl9z,LM8l689qOp,,,wX53,RAYp,F2FyR07IdsN7I,,,-1
,,,,,714.0,7.0,,,,,,280.0,,,,,,,,52.0,65.0,,0.0,16.0,,,296.96,,,,,,,0.0,,,2963694.0,,,,,,0.0,,,,,,,58346.64,,,,,,4.835719,,,,,,,,9.0,,,,,,,,36,0.0,,267536.0,,21.0,,,213510.0,,10.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,8.0,-478320.0,,,,,,370.0,,,,36.0,,74016.0,,,,,,,56.0,1624765.0,323128.0,,,,,,5.0,,,0.0,9.0,,,,,0.0,,,,4746840.0,,,,,,,4.0,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,DQlgUH7IEC,AERks4l,,taul,1K8T,487l,hl83ZVS,LH0kFz12FM,,,irEM,9_Y1,m_h1,,43pnToF,GjJ35utlTa_GNSvxxpb9ju,kIsH,,uKAI,L84s,JBfYVit4g8,,,,TDctq2l,BIXf,UYBR,FzaX,_v2miV7,Al6ZaUT,96ZO9Vr,LM8l689qOp,,,WqMG,02N6s8f,xwM2aC7IdeMC0,,,-1
